Format Version,1.23,Take Name,semi_circle_08_01_002,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-01-08 02.32.16.993 PM,Total Frames in Take,2611,Total Exported Frames,2611,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,tello_30_12,tello_30_12,tello_30_12,tello_30_12,tello_30_12,tello_30_12,tello_30_12,"tello_30_12:Marker1","tello_30_12:Marker1","tello_30_12:Marker1","tello_30_12:Marker1","tello_30_12:Marker2","tello_30_12:Marker2","tello_30_12:Marker2","tello_30_12:Marker2","tello_30_12:Marker3","tello_30_12:Marker3","tello_30_12:Marker3","tello_30_12:Marker3","tello_30_12:Marker4","tello_30_12:Marker4","tello_30_12:Marker4","tello_30_12:Marker4","tello_30_12:Marker5","tello_30_12:Marker5","tello_30_12:Marker5","tello_30_12:Marker5",Unlabeled 1082,Unlabeled 1082,Unlabeled 1082,Unlabeled 1083,Unlabeled 1083,Unlabeled 1083,Unlabeled 1084,Unlabeled 1084,Unlabeled 1084,Unlabeled 1085,Unlabeled 1085,Unlabeled 1085,Unlabeled 1086,Unlabeled 1086,Unlabeled 1086,Unlabeled 1090,Unlabeled 1090,Unlabeled 1090,Unlabeled 1091,Unlabeled 1091,Unlabeled 1091,Unlabeled 1094,Unlabeled 1094,Unlabeled 1094,Unlabeled 1095,Unlabeled 1095,Unlabeled 1095,Unlabeled 1096,Unlabeled 1096,Unlabeled 1096,Unlabeled 1098,Unlabeled 1098,Unlabeled 1098,Unlabeled 1099,Unlabeled 1099,Unlabeled 1099,Unlabeled 1100,Unlabeled 1100,Unlabeled 1100,Unlabeled 1101,Unlabeled 1101,Unlabeled 1101,Unlabeled 1102,Unlabeled 1102,Unlabeled 1102,Unlabeled 1103,Unlabeled 1103,Unlabeled 1103,Unlabeled 1104,Unlabeled 1104,Unlabeled 1104,Unlabeled 1105,Unlabeled 1105,Unlabeled 1105,Unlabeled 1106,Unlabeled 1106,Unlabeled 1106,Unlabeled 1107,Unlabeled 1107,Unlabeled 1107,Unlabeled 1109,Unlabeled 1109,Unlabeled 1109,Unlabeled 1110,Unlabeled 1110,Unlabeled 1110,Unlabeled 1111,Unlabeled 1111,Unlabeled 1111,tello_30_12:Marker1,tello_30_12:Marker1,tello_30_12:Marker1,tello_30_12:Marker2,tello_30_12:Marker2,tello_30_12:Marker2,tello_30_12:Marker3,tello_30_12:Marker3,tello_30_12:Marker3,tello_30_12:Marker4,tello_30_12:Marker4,tello_30_12:Marker4,tello_30_12:Marker5,tello_30_12:Marker5,tello_30_12:Marker5
,ID,"A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","A64808FBA70D11EE8AE82AD64BB4A287","C3550","C3550","C3550","C3570","C3570","C3570","C46D0","C46D0","C46D0","C48C0","C48C0","C48C0","C48E0","C48E0","C48E0","C47B0","C47B0","C47B0","C47C0","C47C0","C47C0","C4910","C4910","C4910","C48F0","C48F0","C48F0","C4C90","C4C90","C4C90","C4CA0","C4CA0","C4CA0","C4CC0","C4CC0","C4CC0","C4CB0","C4CB0","C4CB0","C4C70","C4C70","C4C70","C3C20","C3C20","C3C20","C4CE0","C4CE0","C4CE0","C4CD0","C4CD0","C4CD0","C4CF0","C4CF0","C4CF0","C4D00","C4D00","C4D00","C4D40","C4D40","C4D40","C4D60","C4D60","C4D60","C4D70","C4D70","C4D70","C4D80","C4D80","C4D80","54906204AE2A11EE8AE82AD64BB4A287","54906204AE2A11EE8AE82AD64BB4A287","54906204AE2A11EE8AE82AD64BB4A287","C3C80","C3C80","C3C80","C3C70","C3C70","C3C70","C4890","C4890","C4890","C35F0","C35F0","C35F0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,2.187856,-0.258333,1.396670,1.542913,0.134887,3.772030,0.001371,1.632458,0.142717,3.811263,0.000000,1.596986,0.142453,3.691734,0.000000,1.546622,0.127134,3.800727,0.621349,1.473708,0.129976,3.847118,0.672031,1.464792,0.132155,3.709310,0.900594,2.666938,0.959999,4.757473,2.566422,0.968384,4.640610,2.624540,0.970562,4.735636,2.695292,0.972653,4.687420,2.582485,0.969704,4.725536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.545989,0.127146,3.802103,1.474659,0.129943,3.846215,1.464489,0.132173,3.709052
1,0.010000,2.217696,-0.166265,1.443157,1.542923,0.134948,3.771978,0.001315,1.632523,0.142835,3.811074,0.000000,1.596863,0.142602,3.691601,0.000000,1.546683,0.127183,3.800665,0.609640,1.473840,0.129937,3.847172,0.693447,1.464705,0.132180,3.709380,0.899154,2.666940,0.960035,4.757502,2.566378,0.968485,4.640285,2.624475,0.970608,4.735458,2.695208,0.972746,4.687195,2.582494,0.969698,4.725632,1.481395,0.159891,3.731024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.545977,0.127197,3.802057,1.474765,0.129905,3.846367,1.464435,0.132197,3.709080
2,0.020000,2.254946,-0.190470,1.355671,1.542902,0.134975,3.772128,0.001294,1.632500,0.142699,3.811261,0.000000,1.596883,0.142599,3.691775,0.000000,1.546640,0.127186,3.800811,0.609640,1.473785,0.130023,3.847293,0.693447,1.464703,0.132370,3.709499,0.899154,2.666943,0.960007,4.757463,2.566409,0.968466,4.640402,2.624510,0.970582,4.735615,2.695216,0.972755,4.687201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.545983,0.127201,3.801986,1.474807,0.129986,3.846411,1.464415,0.132386,3.709280
3,0.030000,2.249987,-0.026995,1.346951,1.542826,0.135006,3.771890,0.001301,1.632536,0.142730,3.810767,0.000000,1.596578,0.142621,3.691383,0.000000,1.546646,0.127220,3.800563,0.663433,1.473924,0.130063,3.847253,0.662448,1.464448,0.132398,3.709486,0.909564,2.666905,0.960031,4.757466,2.566392,0.968497,4.640369,2.624461,0.970636,4.735411,2.695232,0.972726,4.687283,2.582476,0.969709,4.725544,1.481243,0.159985,3.730970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.545961,0.127234,3.801911,1.474857,0.130029,3.846442,1.464171,0.132416,3.709196
4,0.040000,2.243510,-0.065241,1.323476,1.542751,0.135047,3.771880,0.001300,1.632439,0.142736,3.810814,0.000000,1.596558,0.142629,3.691406,0.000000,1.546549,0.127262,3.800556,0.636279,1.473797,0.130142,3.847198,0.685468,1.464413,0.132466,3.709424,0.899940,2.666910,0.960032,4.757472,2.566391,0.968457,4.640425,2.624467,0.970655,4.735355,2.695273,0.972706,4.687349,2.582501,0.969715,4.725557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.545909,0.127275,3.801862,1.474736,0.130108,3.846361,1.464119,0.132484,3.709152
5,0.050000,2.276898,-0.034687,1.372067,1.542662,0.135134,3.771734,0.001345,1.632362,0.142879,3.810628,0.000000,1.596422,0.142810,3.691239,0.000000,1.546481,0.127336,3.800404,0.636279,1.473750,0.130126,3.847085,0.685468,1.464295,0.132522,3.709316,0.899940,2.666909,0.960036,4.757473,2.566462,0.968401,4.640686,2.624420,0.970667,4.735262,2.695214,0.972707,4.687304,,,,1.481125,0.160078,3.730819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.545856,0.127346,3.801798,1.474664,0.130095,3.846219,1.463995,0.132540,3.709040
