I,m,a,g,e,,,,,,,,,,,,,
T,i,m,e, ,d,i,f,f,e,r,e,n,c,e,,,
r,o,l,l,,,,,,,,,,,,,,
p,i,t,c,h,,,,,,,,,,,,,
y,a,w,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,
y,,,,,,,,,,,,,,,,,
z,,,,,,,,,,,,,,,,,
v,x,,,,,,,,,,,,,,,,
v,y,,,,,,,,,,,,,,,,
v,z,,,,,,,,,,,,,,,,
/rec_0000,9.5367431640625E-07,0,0,1,0,0,0,0,0,0,,,,,0,0,0
/rec_0001,0.164418935775757,0,0,1,0,0,0,0,0,0,,,,,0,0,0
/rec_0002,0.312290906906128,-1,-2,1,0,0,-0.001569858712716,0,0,-2,,,,,0,0,-0.000156985871272
/rec_0003,0.444469451904297,0,1,1,0,0,-0.012622024937296,0,0,-5,,,,,0,0,-0.001419188365001
/rec_0004,0.580380916595459,0,0,1,0,0,-0.02955523283946,0,0,-6,,,,,0,0,-0.004374711648947
/rec_0005,0.706833124160767,-1,0,1,0,0,-0.047483519692049,0,0,-6,,,,,0,0,-0.009123063618152
/rec_0006,0.836932182312012,0,0,1,0,0,-0.066755468300186,0,0,-6,,,,,0,0,-0.015798610448171
/rec_0007,0.968269824981689,0,0,1,0,0,-0.0805068434377,0,0,-5,,,,,0,0,-0.023849294791941
/rec_0008,1.11566758155823,0,0,1,0,0,-0.094364936564086,0,0,-5,,,,,0,0,-0.033285788448349
/rec_0009,1.27664399147034,0,0,1,0,0,-0.099567248702814,0,0,-3,,,,,0,0,-0.043242513318631
/rec_0010,1.40478229522705,0,0,1,0,0,-0.100094119092698,0,0,-1,,,,,0,0,-0.053251925227901
/rec_0011,1.51779794692993,0,0,1,0,0,-0.100094119092698,0,0,0,,,,,0,0,-0.06326133713717
/rec_0012,1.64053249359131,0,0,1,0,0,-0.100094119092698,0,0,0,,,,,0,0,-0.07327074904644
/rec_0013,1.75683856010437,0,0,1,0,0,-0.100094119092698,0,0,0,,,,,0,0,-0.08328016095571
/rec_0014,1.8678150177002,0,0,1,0,0,-0.100094119092698,0,0,0,,,,,0,0,-0.09328957286498
/rec_0015,1.997230052948,0,0,1,0,0,-0.100094119092698,0,0,0,,,,,0,0,-0.10329898477425
/rec_0016,2.11689686775208,0,0,1,0,0,-0.100094119092698,0,0,0,,,,,0,0,-0.11330839668352
/rec_0017,2.27719712257385,0,0,1,0,0,-0.100611182174394,0,0,1,,,,,0,0,-0.123369514900959
/rec_0018,2.43108415603638,0,0,1,0,0,-0.101105253320639,0,0,1,,,,,0,0,-0.133480040233023
/rec_0019,2.55094766616821,0,0,1,0,0,-0.101627173988698,0,0,1,,,,,0,0,-0.143642757631893
/rec_0020,2.67142963409424,0,0,1,0,0,-0.102126175984706,0,0,1,,,,,0,0,-0.153855375230363
/rec_0021,2.78047394752502,0,0,1,0,0,-0.102647552418491,0,0,1,,,,,0,0,-0.164120130472212
/rec_0022,2.91787576675415,0,0,1,0,0,-0.10315413803146,0,0,1,,,,,0,0,-0.174435544275358
/rec_0023,3.05388069152832,0,0,1,0,0,-0.103651650469271,0,0,1,,,,,0,0,-0.184800709322285
/rec_0024,3.16174340248108,0,0,1,0,0,-0.104154163032085,0,0,1,,,,,0,0,-0.195216125625494
/rec_0025,3.31930017471313,0,0,1,0,0,-0.104643878996825,0,0,1,,,,,0,0,-0.205680513525176
/rec_0026,3.42146968841553,0,0,1,0,0,-0.105131683874874,0,0,1,,,,,0,0,-0.216193681912664
/rec_0027,3.55507326126099,0,0,1,0,0,-0.105625267290471,0,0,1,,,,,0,0,-0.226756208641711
/rec_0028,3.69693994522095,0,0,1,0,0,-0.106117878127909,0,0,1,,,,,0,0,-0.237367996454502
/rec_0029,3.82579112052917,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.247979784267293
/rec_0030,3.93968987464905,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.258591572080084
/rec_0031,4.08686017990112,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.269203359892875
/rec_0032,4.22256684303284,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.279815147705665
/rec_0033,4.35128736495972,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.290426935518456
/rec_0034,4.45811247825623,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.301038723331247
/rec_0035,4.58078241348267,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.311650511144038
/rec_0036,4.70229601860046,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.322262298956829
/rec_0037,4.8355987071991,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.33287408676962
/rec_0038,4.94929099082947,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.343485874582411
/rec_0039,5.0628764629364,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.354097662395202
/rec_0040,5.16016340255737,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.364709450207993
/rec_0041,5.27798628807068,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.375321238020784
/rec_0042,5.39020729064941,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.385933025833575
/rec_0043,5.51108264923096,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.396544813646366
/rec_0044,5.62467741966248,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.407156601459157
/rec_0045,5.7274386882782,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.417768389271948
/rec_0046,5.85508608818054,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.428380177084739
/rec_0047,5.98695421218872,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.43899196489753
/rec_0048,6.11387777328491,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.449603752710321
/rec_0049,6.23721599578857,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.460215540523112
/rec_0050,6.37754273414612,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.470827328335903
/rec_0051,6.49054932594299,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.481439116148694
/rec_0052,6.62204742431641,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.492050903961485
/rec_0053,6.7358033657074,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.502662691774276
/rec_0054,6.86139822006226,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.513274479587067
/rec_0055,6.98548650741577,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.523886267399857
/rec_0056,7.12822699546814,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.534498055212648
/rec_0057,7.26330256462097,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.545109843025439
/rec_0058,7.40125703811646,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.55572163083823
/rec_0059,7.51619291305542,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.566333418651021
/rec_0060,7.63520288467407,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.576945206463812
/rec_0061,7.75643491744995,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.587556994276603
