Format Version,1.23,,,,,,,100,Export Frame Rate,100,Capture Start Time,2024-04-16 01.05.29.464 PM,Total Frames in Take,1961,Total Exported Frames,1961,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,tello,tello,tello,tello,tello,tello,stool,stool,stool:Marker1,stool:Marker1,stool:Marker1,stool:Marker1,stool:Marker2,stool:Marker2,stool:Marker2,stool:Marker2,stool:Marker3,stool:Marker3,stool:Marker3,stool:Marker3,bucket,bucket,bucket,bucket,bucket,bucket,bucket,bucket:Marker1,bucket:Marker1,bucket:Marker1,bucket:Marker1,bucket:Marker2,bucket:Marker2,bucket:Marker2,bucket:Marker2,bucket:Marker3,bucket:Marker3,bucket:Marker3,bucket:Marker3,tello,tello,tello,tello,tello,tello,tello,tello:Marker1,tello:Marker1,tello:Marker1,tello:Marker1,tello:Marker2,tello:Marker2,tello:Marker2,tello:Marker2,tello:Marker3,tello:Marker3,tello:Marker3,tello:Marker3,tello:Marker4,tello:Marker4,tello:Marker4,tello:Marker4,tello:Marker5,tello:Marker5,tello:Marker5,tello:Marker5,Unlabeled 1090,Unlabeled 1090,Unlabeled 1090,Unlabeled 1101,Unlabeled 1101,Unlabeled 1101,Unlabeled 1102,Unlabeled 1102,Unlabeled 1102,Unlabeled 1104,Unlabeled 1104,Unlabeled 1104,Unlabeled 1105,Unlabeled 1105,Unlabeled 1105,Unlabeled 1106,Unlabeled 1106,Unlabeled 1106,Unlabeled 1107,Unlabeled 1107,Unlabeled 1107,Unlabeled 1108,Unlabeled 1108,Unlabeled 1108,Unlabeled 1109,Unlabeled 1109,Unlabeled 1109,Unlabeled 1110,Unlabeled 1110,Unlabeled 1110,Unlabeled 1111,Unlabeled 1111,Unlabeled 1111,Unlabeled 1112,Unlabeled 1112,Unlabeled 1112,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113,Unlabeled 1114,Unlabeled 1114,Unlabeled 1114,Unlabeled 1115,Unlabeled 1115,Unlabeled 1115,Unlabeled 1116,Unlabeled 1116,Unlabeled 1116,Unlabeled 1117,Unlabeled 1117,Unlabeled 1117,Unlabeled 1119,Unlabeled 1119,Unlabeled 1119,Unlabeled 1120,Unlabeled 1120,Unlabeled 1120,Unlabeled 1121,Unlabeled 1121,Unlabeled 1121,Unlabeled 1122,Unlabeled 1122,Unlabeled 1122,Unlabeled 1124,Unlabeled 1124,Unlabeled 1124,Unlabeled 1125,Unlabeled 1125,Unlabeled 1125,Unlabeled 1126,Unlabeled 1126,Unlabeled 1126,Unlabeled 1127,Unlabeled 1127,Unlabeled 1127,Unlabeled 1128,Unlabeled 1128,Unlabeled 1128,Unlabeled 1129,Unlabeled 1129,Unlabeled 1129,Unlabeled 1131,Unlabeled 1131,Unlabeled 1131,Unlabeled 1132,Unlabeled 1132,Unlabeled 1132,Unlabeled 1135,Unlabeled 1135,Unlabeled 1135,Unlabeled 1136,Unlabeled 1136,Unlabeled 1136,Unlabeled 1137,Unlabeled 1137,Unlabeled 1137,bucket:Marker1,bucket:Marker1,bucket:Marker1,bucket:Marker2,bucket:Marker2,bucket:Marker2,bucket:Marker3,bucket:Marker3,bucket:Marker3,stool:Marker1,stool:Marker1,stool:Marker1,stool:Marker2,stool:Marker2,stool:Marker2,stool:Marker3,stool:Marker3,stool:Marker3,tello:Marker1,tello:Marker1,tello:Marker1,tello:Marker2,tello:Marker2,tello:Marker2,tello:Marker3,tello:Marker3,tello:Marker3,tello:Marker4,tello:Marker4,tello:Marker4
,ID,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,25748D50FBDF11EE8AE82AD64BB4B087,25748D50FBDF11EE8AE82AD64BB4B087,25748D50FBDF11EE8AE82AD64BB4B087,25748D50FBDF11EE8AE82AD64BB4B087,25748D50FBDF11EE8AE82AD64BB4B087,25748D50FBDF11EE8AE82AD64BB4B087,25748D50FBDF11EE8AE82AD64BB4B087,25748D50FBDF11EE8AE82AD64BB4B087,25748D50FBDF11EE8AE82AD64BB4B087,25748D50FBDF11EE8AE82AD64BB4B087,25748D50FBDF11EE8AE82AD64BB4B087,25748D50FBDF11EE8AE82AD64BB4B087,25748D50FBDF11EE8AE82AD64BB4B087,25748D50FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,46C8BAF6FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,64A497D4FBDF11EE8AE82AD64BB4B087,C54F0,C54F0,C54F0,C5840,C5840,C5840,C54A0,C54A0,C54A0,C5870,C5870,C5870,C5880,C5880,C5880,C5890,C5890,C5890,C58A0,C58A0,C58A0,C58B0,C58B0,C58B0,C58C0,C58C0,C58C0,C58D0,C58D0,C58D0,C5850,C5850,C5850,C58E0,C58E0,C58E0,C58F0,C58F0,C58F0,C5900,C5900,C5900,C5910,C5910,C5910,C54B0,C54B0,C54B0,C5920,C5920,C5920,C5960,C5960,C5960,C5970,C5970,C5970,C5950,C5950,C5950,C5980,C5980,C5980,C59A0,C59A0,C59A0,C59B0,C59B0,C59B0,C5930,C5930,C5930,C4F00,C4F00,C4F00,C4E60,C4E60,C4E60,C59F0,C59F0,C59F0,C5A20,C5A20,C5A20,C59C0,C59C0,C59C0,C5A60,C5A60,C5A60,C5A50,C5A50,C5A50,C5A70,C5A70,C5A70,C3B00,C3B00,C3B00,C3B10,C3B10,C3B10,C3B20,C3B20,C3B20,C38D0,C38D0,C38D0,C38E0,C38E0,C38E0,C39C0,C39C0,C39C0,C5550,C5550,C5550,C5030,C5030,C5030,C5480,C5480,C5480,C5470,C5470,C5470
,,Rotation,Rotation,Rotation,Position,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-0.59889,4.417175,-0.095317,0.316238,0.05039,-0.024567,3.391989,0.000287,0.030017,0.748789,3.398289,0.895819,0.113205,0.750416,3.450421,0.952744,0.028889,0.743181,3.327258,0.937161,-0.260544,-0.091102,0.07679,0.709717,0.38535,3.388088,0.000114,0.724398,0.385361,3.454878,0.970734,0.764755,0.385255,3.352088,0.966258,0.639999,0.385434,3.3573,0.981862,-0.59889,4.417175,-0.095317,0.316238,0.05039,-0.024567,0.000458,0.368693,0.050772,-0.115614,0.875575,0.265754,0.053932,0.048569,0.850118,0.396791,0.053471,0.032886,0.885778,0.318326,0.04317,-0.004952,0.785047,0.231628,0.050607,-0.083723,0,0.233628,0.049221,-0.090934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.724299,0.385361,3.454941,0.764813,0.385255,3.351966,0.640041,0.385434,3.357359,0.029661,0.748817,3.398504,0.113391,0.750408,3.45039,0.029058,0.743161,3.327074,0.368231,0.050644,-0.115749,0.265227,0.053755,0.048343,0.397055,0.053352,0.033239,0.319068,0.043604,-0.004943
1,0.01,-0.59973,4.39583,-0.126669,0.316143,0.050492,-0.024612,3.391976,0.0003,0.03,0.748818,3.398277,0.895014,0.11319,0.750456,3.450404,0.950906,0.028868,0.743177,3.327248,0.936656,-0.251797,-0.087181,0.035163,0.709738,0.385396,3.388069,0.000104,0.724423,0.385387,3.454858,0.972055,0.764774,0.385267,3.352065,0.969713,0.640018,0.385536,3.357285,0.981434,-0.59973,4.39583,-0.126669,0.316143,0.050492,-0.024612,0.000467,0.368632,0.05084,-0.115639,0.871163,0.265633,0.054065,0.048504,0.843659,0.396676,0.053532,0.032871,0.875925,0.31822,0.043272,-0.004997,0.7871,0.231556,0.050751,-0.0838,0,0.233609,0.049213,-0.090976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.724334,0.385387,3.454926,0.764806,0.385267,3.351948,0.640075,0.385536,3.357333,0.029639,0.748845,3.398489,0.113385,0.750449,3.450381,0.029035,0.743157,3.327058,0.368151,0.050714,-0.115775,0.265087,0.053891,0.048254,0.396982,0.053414,0.033243,0.318956,0.043699,-0.004983
2,0.02,-0.392064,4.243289,-0.087409,0.31639,0.050642,-0.024675,3.391992,0.000281,0.030038,0.748769,3.398295,0.896224,0.11323,0.750422,3.450418,0.95341,0.028904,0.743177,3.327263,0.937664,-0.240471,-0.086565,0.040624,0.709748,0.385373,3.388084,0.000118,0.724433,0.385351,3.454873,0.970908,0.764783,0.385255,3.352079,0.968904,0.640028,0.385512,3.357301,0.977083,-0.392064,4.243289,-0.087409,0.31639,0.050642,-0.024675,0.000437,0.36912,0.051361,-0.115561,0.899066,0.265683,0.053911,0.048319,0.859401,0.396767,0.053528,0.033032,0.911177,0.318419,0.043352,-0.005081,0.834122,0.231959,0.051059,-0.084087,0,0.233614,0.049121,-0.091009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.724332,0.385352,3.45493,0.764817,0.385255,3.35196,0.640095,0.385512,3.357363,0.029683,0.748796,3.39851,0.113413,0.750414,3.450384,0.029075,0.743158,3.327083,0.368855,0.051275,-0.115853,0.265137,0.053792,0.048251,0.396995,0.053432,0.033288,0.319001,0.043652,-0.004976
3,0.03,-0.704794,4.362817,-0.059636,0.316096,0.050477,-0.024628,3.391975,0.000274,0.030008,0.748813,3.398274,0.893387,0.113197,0.750436,3.450404,0.955014,0.028878,0.743181,3.327245,0.934913,-0.256567,-0.08412,0.089225,0.709724,0.385356,3.388064,0.000086,0.724412,0.385366,3.454852,0.975528,0.764757,0.385275,3.352056,0.972495,0.640002,0.385427,3.357283,0.986679,-0.704794,4.362817,-0.059636,0.316096,0.050477,-0.024628,0.000477,0.368636,0.050728,-0.115626,0.867161,0.265541,0.054118,0.048453,0.838502,0.396593,0.053712,0.032894,0.872331,0.31817,0.043294,-0.004999,0.779517,0.231542,0.050533,-0.083864,0,0.233599,0.049131,-0.090953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.724337,0.385366,3.454915,0.764796,0.385275,3.351953,0.640038,0.385427,3.357323,0.029654,0.748842,3.39851,0.113369,0.750427,3.450355,0.02906,0.74316,3.32706,0.368142,0.0506,-0.115772,0.264981,0.05394,0.048184,0.39691,0.053592,0.033275,0.318933,0.043736,-0.004964
4,0.04,-0.383603,4.251586,-0.073004,0.316353,0.050655,-0.024613,3.391991,0.000289,0.030034,0.748782,3.398291,0.895692,0.113222,0.750425,3.450422,0.952458,0.028907,0.74317,3.32726,0.937237,-0.226495,-0.094297,0.045714,0.70974,0.385378,3.388083,0.000114,0.724416,0.385341,3.454873,0.971189,0.76478,0.385274,3.352085,0.969133,0.640023,0.385518,3.35729,0.978327,-0.383603,4.251586,-0.073004,0.316353,0.050655,-0.024613,0.000439,0.36907,0.051403,-0.115506,0.913851,0.265656,0.053899,0.048389,0.861294,0.396738,0.053551,0.033083,0.93054,0.318387,0.043362,-0.00502,0.831291,0.231914,0.051061,-0.084012,0,0.233643,0.049135,-0.090961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.724318,0.385341,3.454935,0.764813,0.385274,3.351966,0.640088,0.385518,3.357348,0.029677,0.74881,3.398505,0.113409,0.750417,3.450392,0.029076,0.743151,3.327076,0.36883,0.051315,-0.115738,0.265115,0.053781,0.048357,0.39692,0.053455,0.033269,0.318985,0.043665,-0.004942
5,0.05,-0.054072,4.145657,-0.1258,0.316398,0.051078,-0.024693,3.391972,0.000316,0.030007,0.748828,3.398268,0.895692,0.113189,0.750444,3.450408,0.952458,0.028884,0.743196,3.327239,0.937237,-0.264542,-0.088268,0.096583,0.709714,0.385362,3.388067,0.000105,0.724398,0.385383,3.454857,0.971189,0.76475,0.385283,3.352064,0.969133,0.639994,0.38542,3.357282,0.978327,-0.054072,4.145657,-0.1258,0.316398,0.051078,-0.024693,0.000491,0.369284,0.052294,-0.115483,0.913851,0.265568,0.053953,0.048233,0.861294,0.396678,0.053572,0.033167,0.93054,0.318389,0.043672,-0.005138,0.831291,0.232069,0.051899,-0.084245,0,0.233616,0.049218,-0.090968,-2.584424,0.748064,-0.049686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.724307,0.385383,3.454917,0.764802,0.385283,3.351949,0.640034,0.38542,3.357336,0.029626,0.748858,3.398492,0.113395,0.750435,3.450384,0.029059,0.743175,3.327039,0.369129,0.052282,-0.115811,0.264977,0.053945,0.04822,0.396905,0.053508,0.033298,0.318909,0.043756,-0.004928
